block_id,fazenda,status,month,center_lon,center_lat,image_date,cloud_percent,mgrs_tile,system_id,s2dr4_call
maria_izabel_011,Maria Izabel,fallback_best_cloud,2026-05,-47.88421081439113,-5.873100611686375,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88421081,-5.87310061), date='2026-05-06')"
maria_izabel_012,Maria Izabel,fallback_best_cloud,2026-05,-47.849925427442514,-5.873276560286923,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.84992543,-5.87327656), date='2026-05-06')"
montes_alto_001,Montes Alto,selected,2026-04,-47.98329677739647,-5.1173075242014106,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98329678,-5.11730752), date='2026-04-26')"
montes_alto_002,Montes Alto,selected,2026-04,-47.98313815902177,-5.082977356620926,2026-04-26,3.398176,22MHV,COPERNICUS/S2_SR_HARMONIZED/20260426T133139_20260426T133141_T22MHV,"s2dr4.inferutils.test(lonlat=(-47.98313816,-5.08297736), date='2026-04-26')"
placemark_001,Placemark,fallback_best_cloud,2026-05,-47.95483393921217,-6.250372081268659,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.95483394,-6.25037208), date='2026-05-06')"
placemark_002,Placemark,fallback_best_cloud,2026-05,-47.92052688482436,-6.250563892977362,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.92052688,-6.25056389), date='2026-05-06')"
placemark_003,Placemark,fallback_best_cloud,2026-05,-47.988945431998864,-6.215849390181249,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.98894543,-6.21584939), date='2026-05-06')"
placemark_004,Placemark,fallback_best_cloud,2026-05,-47.95464168154553,-6.21604236009404,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.95464168,-6.21604236), date='2026-05-06')"
placemark_005,Placemark,fallback_best_cloud,2026-05,-47.920336851579464,-6.216233110285313,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.92033685,-6.21623311), date='2026-05-06')"
placemark_006,Placemark,fallback_best_cloud,2026-05,-47.98875204225571,-6.181520692383952,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.98875204,-6.18152069), date='2026-05-06')"
placemark_007,Placemark,fallback_best_cloud,2026-05,-47.95445050339196,-6.181712588560503,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.95445050,-6.18171259), date='2026-05-06')"
placemark_008,Placemark,fallback_best_cloud,2026-05,-47.920147885359164,-6.181902277365922,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.92014789,-6.18190228), date='2026-05-06')"
placemark_009,Placemark,fallback_best_cloud,2026-05,-47.885844200641834,-6.18208975846162,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88584420,-6.18208976), date='2026-05-06')"
placemark_010,Placemark,fallback_best_cloud,2026-05,-47.98855974416446,-6.147191944370612,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.98855974,-6.14719194), date='2026-05-06')"
placemark_011,Placemark,fallback_best_cloud,2026-05,-47.954260404407776,-6.147382766943257,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.95426040,-6.14738277), date='2026-05-06')"
placemark_012,Placemark,fallback_best_cloud,2026-05,-47.919959985823745,-6.147571394493648,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.91995999,-6.14757139), date='2026-05-06')"
placemark_013,Placemark,fallback_best_cloud,2026-05,-47.88565850089294,-6.147757826685111,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.88565850,-6.14775783), date='2026-05-06')"
placemark_014,Placemark,fallback_best_cloud,2026-05,-47.851355962097905,-6.147942063184868,2026-05-06,7.8293,22MHU,COPERNICUS/S2_SR_HARMONIZED/20260506T133139_20260506T133232_T22MHU,"s2dr4.inferutils.test(lonlat=(-47.85135596,-6.14794206), date='2026-05-06')"
